ticker,company_name,sector,listing_date
279570,케이뱅크,은행 및 저축기관,2026-03-05
217590,티엠씨,절연선 및 케이블 제조업,2025-12-15
0126Z0,삼성에피스홀딩스,기타 금융업,2025-11-24
0120G0,삼양바이오팜,의약품 제조업,2025-11-24
317450,명인제약,의약품 제조업,2025-10-01
439260,대한조선,선박 및 보트 건조업,2025-08-01
0030R0,대신밸류리츠,신탁업 및 집합투자업,2025-07-10
483650,달바글로벌,기타 화학제품 제조업,2025-05-22
480370,씨케이솔루션,일반 목적용 기계 제조업,2025-03-17
031210,서울보증보험,보험업,2025-03-14
064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2025-02-05
499790,GS피앤엘,기타 금융업,2024-12-23
484870,엠앤씨솔루션,특수 목적용 기계 제조업,2024-12-16
415640,KB발해인프라,신탁업 및 집합투자업,2024-11-29
475560,더본코리아,상품 종합 도매업,2024-11-06
489790,한화비전,통신 및 방송 장비 제조업,2024-09-27
079900,전진건설로봇,특수 목적용 기계 제조업,2024-08-19
487570,HS효성,기타 금융업,2024-07-29
062040,산일전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2024-07-29
462870,시프트업,소프트웨어 개발 및 공급업,2024-07-11
481850,신한글로벌액티브리츠,신탁업 및 집합투자업,2024-07-01
034230,파라다이스,유원지 및 기타 오락관련 서비스업,2024-06-24
443060,HD현대마린솔루션,"건축기술, 엔지니어링 및 관련 기술 서비스업",2024-05-08
475150,SK이터닉스,건물 건설업,2024-03-29
278470,에이피알,기타 화학제품 제조업,2024-02-27
066970,엘앤에프,일차전지 및 이차전지 제조업,2024-01-29
022100,포스코DX,"건축기술, 엔지니어링 및 관련 기술 서비스업",2024-01-02
017860,DS단석,기타 화학제품 제조업,2023-12-22
111380,동인기연,"가죽, 가방 및 유사제품 제조업",2023-11-21
450080,에코프로머티,일차전지 및 이차전지 제조업,2023-11-17
454910,두산로보틱스,특수 목적용 기계 제조업,2023-10-05
465770,STX그린로지스,해상 운송업,2023-09-15
092790,넥스틸,1차 철강 제조업,2023-08-21
030190,NICE평가정보,기타 정보 서비스업,2023-08-08
462520,조선내화,"내화, 비내화 요업제품 제조업",2023-07-28
090460,비에이치,전자부품 제조업,2023-06-20
460850,동국씨엠,1차 철강 제조업,2023-06-16
460860,동국제강,1차 철강 제조업,2023-06-16
457190,이수스페셜티케미컬,기초 화학물질 제조업,2023-05-31
456040,OCI,기초 화학물질 제조업,2023-05-30
100090,SK오션플랜트,1차 철강 제조업,2023-04-19
448730,삼성FN리츠,부동산 임대 및 공급업,2023-04-10
453340,현대그린푸드,종합 소매업,2023-04-10
452260,한화갤러리아,종합 소매업,2023-03-31
451800,한화리츠,부동산 임대 및 공급업,2023-03-27
377740,바이오노트,의료용품 및 기타 의약 관련제품 제조업,2022-12-22
446070,유니드비티플러스,제재 및 목재 가공업,2022-11-28
108320,LX세미콘,반도체 제조업,2022-11-03
432320,KB스타리츠,부동산 임대 및 공급업,2022-10-06
403550,쏘카,운송장비 임대업,2022-08-22
126720,수산인더스트리,전기 및 통신 공사업,2022-08-01
357430,마스턴프리미어리츠,부동산 임대 및 공급업,2022-05-31
417310,코람코더원리츠,부동산 임대 및 공급업,2022-03-28
373220,LG에너지솔루션,일차전지 및 이차전지 제조업,2022-01-27
404990,신한서부티엔디리츠,부동산 임대 및 공급업,2021-12-10
396690,미래에셋글로벌리츠,부동산 임대 및 공급업,2021-12-03
402340,SK스퀘어,기타 금융업,2021-11-29
400760,NH올원리츠,부동산 임대 및 공급업,2021-11-18
377300,카카오페이,금융 지원 서비스업,2021-11-03
381970,케이카,자동차 판매업,2021-10-13
329180,HD현대중공업,선박 및 보트 건조업,2021-09-17
395400,SK리츠,부동산 임대 및 공급업,2021-09-14
271940,일진하이솔루스,그외 기타 운송장비 제조업,2021-09-01
377190,디앤디플랫폼리츠,부동산 임대 및 공급업,2021-08-27
139990,아주스틸,1차 철강 제조업,2021-08-20
089860,롯데렌탈,운송장비 임대업,2021-08-19
372910,한컴라이프케어,의료용 기기 제조업,2021-08-17
